phase,node_id,op,device,device_type,mode,start,end,duration
decode,L30_FFN_W2_E0,FFN_W2,PIM1,pim,NAIVE,1.103923967,1.10395951,3.55E-05
decode,L30_FFN_W2_E1,FFN_W2,PIM0,pim,NAIVE,1.103924201,1.103959743,3.55E-05
decode,L30_Router,MoE_Router,PIM1,pim,NAIVE,1.103959814,1.103959849,3.50E-08
decode,L30_Add2,Add,PIM0,pim,NAIVE,1.103959919,1.103959923,3.75E-09
decode,L31_LN1,LN,PIM1,pim,NAIVE,1.103959993,1.103961636,1.64E-06
decode,L31_Q_s0,Q,PIM0,pim,NAIVE,1.103961706,1.103967241,5.53E-06
decode,L31_K_s0,K,PIM0,pim,NAIVE,1.103967241,1.103969311,2.07E-06
decode,L31_V_s0,V,PIM0,pim,NAIVE,1.103969311,1.103971381,2.07E-06
decode,L31_Q_s1,Q,PIM1,pim,NAIVE,1.103961636,1.103967171,5.53E-06
decode,L31_K_s1,K,PIM1,pim,NAIVE,1.103967171,1.103969241,2.07E-06
decode,L31_V_s1,V,PIM1,pim,NAIVE,1.103969241,1.103971311,2.07E-06
decode,L31_K_write_s0,K_write,PIM0,pim,NAIVE,1.103971381,1.103971411,3.00E-08
decode,L31_QK_s0,QK,PIM0,pim,NAIVE,1.103971411,1.103992361,2.09E-05
decode,L31_V_write_s0,V_write,PIM0,pim,NAIVE,1.103992361,1.103992391,3.00E-08
decode,L31_K_write_s1,K_write,PIM1,pim,NAIVE,1.103971311,1.103971341,3.00E-08
decode,L31_QK_s1,QK,PIM1,pim,NAIVE,1.103971341,1.103992291,2.09E-05
decode,L31_V_write_s1,V_write,PIM1,pim,NAIVE,1.103992291,1.103992321,3.00E-08
decode,L31_Softmax_s0,Softmax,PIM0,pim,NAIVE,1.103992391,1.104002007,9.62E-06
decode,L31_Softmax_s1,Softmax,PIM1,pim,NAIVE,1.103992321,1.104001937,9.62E-06
decode,L31_SV_s0,SV,PIM0,pim,NAIVE,1.104002007,1.104032847,3.08E-05
decode,L31_SV_s1,SV,PIM1,pim,NAIVE,1.104001937,1.104032777,3.08E-05
decode,L31_O_s0,O,PIM1,pim,NAIVE,1.104032885,1.104037963,5.08E-06
decode,L31_O_s1,O,PIM0,pim,NAIVE,1.104032847,1.104037925,5.08E-06
decode,L31_AllReduce_O,ALLREDUCE,COMM,comm,COMM,1.104037963,1.104038028,6.54E-08
decode,L31_Add1,Add,PIM0,pim,NAIVE,1.104038028,1.104038032,3.75E-09
decode,L31_LN2,LN,PIM1,pim,NAIVE,1.104038102,1.104039745,1.64E-06
decode,L31_FFN_W1_E0,FFN_W1,PIM0,pim,NAIVE,1.104039815,1.104075885,3.61E-05
decode,L31_FFN_W3_E0,FFN_W3,PIM1,pim,NAIVE,1.104039745,1.104073,3.33E-05
decode,L31_FFN_W1_E1,FFN_W1,PIM1,pim,NAIVE,1.104073,1.10410907,3.61E-05
decode,L31_FFN_W3_E1,FFN_W3,PIM0,pim,NAIVE,1.104075885,1.10410914,3.33E-05
decode,L31_Act_E0,SwiGLU,PIM1,pim,NAIVE,1.10410907,1.104110428,1.36E-06
decode,L31_Act_E1,SwiGLU,PIM0,pim,NAIVE,1.104109303,1.104110662,1.36E-06
decode,L31_FFN_W2_E0,FFN_W2,PIM1,pim,NAIVE,1.104110428,1.104145971,3.55E-05
decode,L31_FFN_W2_E1,FFN_W2,PIM0,pim,NAIVE,1.104110662,1.104146205,3.55E-05
decode,L31_Router,MoE_Router,PIM1,pim,NAIVE,1.104146275,1.10414631,3.50E-08
decode,L31_Add2,Add,PIM0,pim,NAIVE,1.10414638,1.104146384,3.75E-09
decode,L0_LN1,LN,PIM1,pim,FIXED_PLAN,1.10414631,1.104147952,1.64E-06
decode,L0_Q_s0,Q,PIM0,pim,FIXED_PLAN,1.104148023,1.104153558,5.53E-06
decode,L0_K_s0,K,PIM0,pim,FIXED_PLAN,1.104153558,1.104155628,2.07E-06
decode,L0_V_s0,V,PIM0,pim,FIXED_PLAN,1.104155628,1.104157698,2.07E-06
decode,L0_Q_s1,Q,PIM1,pim,FIXED_PLAN,1.104147952,1.104153487,5.53E-06
decode,L0_K_s1,K,PIM1,pim,FIXED_PLAN,1.104153487,1.104155557,2.07E-06
decode,L0_V_s1,V,PIM1,pim,FIXED_PLAN,1.104155557,1.104157627,2.07E-06
decode,L0_K_write_s0,K_write,PIM0,pim,FIXED_PLAN,1.104157698,1.104157728,3.00E-08
decode,L0_QK_s0,QK,PIM0,pim,FIXED_PLAN,1.104157728,1.104178678,2.09E-05
decode,L0_V_write_s0,V_write,PIM0,pim,FIXED_PLAN,1.104178678,1.104178708,3.00E-08
decode,L0_K_write_s1,K_write,PIM1,pim,FIXED_PLAN,1.104157627,1.104157657,3.00E-08
decode,L0_QK_s1,QK,PIM1,pim,FIXED_PLAN,1.104157657,1.104178607,2.09E-05
decode,L0_V_write_s1,V_write,PIM1,pim,FIXED_PLAN,1.104178607,1.104178637,3.00E-08
decode,L0_Softmax_s0,Softmax,PIM0,pim,FIXED_PLAN,1.104178708,1.104188324,9.62E-06
decode,L0_Softmax_s1,Softmax,PIM1,pim,FIXED_PLAN,1.104178637,1.104188254,9.62E-06
decode,L0_SV_s0,SV,PIM0,pim,FIXED_PLAN,1.104188324,1.104219164,3.08E-05
decode,L0_SV_s1,SV,PIM1,pim,FIXED_PLAN,1.104188254,1.104219094,3.08E-05
decode,L0_O_s0,O,PIM1,pim,FIXED_PLAN,1.104219202,1.104224279,5.08E-06
decode,L0_O_s1,O,PIM0,pim,FIXED_PLAN,1.104219164,1.104224242,5.08E-06
decode,L0_AllReduce_O,ALLREDUCE,COMM,comm,FIXED_COMM,1.104224279,1.104224345,6.54E-08
decode,L0_Add1,Add,PIM0,pim,FIXED_PLAN,1.104224345,1.104224348,3.75E-09
decode,L0_LN2,LN,PIM1,pim,FIXED_PLAN,1.104224419,1.104226061,1.64E-06
decode,L0_FFN_W1_E0,FFN_W1,PIM0,pim,FIXED_PLAN,1.104226132,1.104262202,3.61E-05
decode,L0_FFN_W3_E0,FFN_W3,PIM1,pim,FIXED_PLAN,1.104226061,1.104259316,3.33E-05
decode,L0_FFN_W1_E1,FFN_W1,PIM1,pim,FIXED_PLAN,1.104259316,1.104295386,3.61E-05
decode,L0_FFN_W3_E1,FFN_W3,PIM0,pim,FIXED_PLAN,1.104262202,1.104295457,3.33E-05
decode,L0_Act_E0,SwiGLU,PIM1,pim,FIXED_PLAN,1.104295386,1.104296745,1.36E-06
decode,L0_Act_E1,SwiGLU,PIM0,pim,FIXED_PLAN,1.10429562,1.104296979,1.36E-06
