device_type,phase,op,node_id,duration
npu,decode,SV,L13_SV,0.0216511999999936
npu,decode,SV,L14_SV,0.0216511999999936
npu,decode,SV,L15_SV,0.0216511999999936
npu,decode,SV,L16_SV,0.0216511999999936
npu,decode,SV,L17_SV,0.0216511999999936
npu,decode,SV,L18_SV,0.0216511999999936
npu,decode,SV,L19_SV,0.0216511999999936
npu,decode,SV,L1_SV,0.0216511999999936
npu,decode,SV,L20_SV,0.0216511999999936
npu,decode,SV,L21_SV,0.0216511999999936
npu,decode,SV,L22_SV,0.0216511999999936
npu,decode,SV,L23_SV,0.0216511999999936
npu,decode,SV,L24_SV,0.0216511999999936
npu,decode,SV,L25_SV,0.0216511999999936
npu,decode,SV,L26_SV,0.0216511999999936
npu,decode,SV,L27_SV,0.0216511999999936
npu,decode,SV,L28_SV,0.0216511999999936
npu,decode,SV,L29_SV,0.0216511999999936
npu,decode,SV,L2_SV,0.0216511999999936
npu,decode,SV,L30_SV,0.0216511999999936
npu,decode,SV,L31_SV,0.0216511999999936
npu,decode,SV,L3_SV,0.0216511999999936
npu,decode,SV,L4_SV,0.0216511999999936
npu,decode,SV,L5_SV,0.0216511999999936
npu,decode,SV,L6_SV,0.0216511999999936
npu,decode,SV,L7_SV,0.0216511999999936
npu,decode,SV,L8_SV,0.0216511999999936
npu,decode,SV,L9_SV,0.0216511999999936
npu,decode,SwiGLU,L0_Act,0.00024768000002239887
npu,decode,SwiGLU,L10_Act,0.00037152000004425645
npu,decode,SwiGLU,L11_Act,0.00037152000004425645
npu,decode,SwiGLU,L12_Act,0.00037152000004425645
npu,decode,SwiGLU,L13_Act,0.00037152000004425645
npu,decode,SwiGLU,L14_Act,0.00037152000004425645
npu,decode,SwiGLU,L15_Act,0.00037152000004425645
npu,decode,SwiGLU,L16_Act,0.00037152000004425645
npu,decode,SwiGLU,L17_Act,0.00037152000004425645
npu,decode,SwiGLU,L18_Act,0.00037152000004425645
npu,decode,SwiGLU,L19_Act,0.00037152000004425645
npu,decode,SwiGLU,L1_Act,0.000371520000037151
npu,decode,SwiGLU,L20_Act,0.00037152000004425645
npu,decode,SwiGLU,L21_Act,0.00037152000004425645
npu,decode,SwiGLU,L22_Act,0.00037152000004425645
npu,decode,SwiGLU,L23_Act,0.00037152000004425645
npu,decode,SwiGLU,L24_Act,0.00037152000004425645
npu,decode,SwiGLU,L25_Act,0.00037152000004425645
npu,decode,SwiGLU,L26_Act,0.00037152000004425645
npu,decode,SwiGLU,L27_Act,0.00037152000004425645
npu,decode,SwiGLU,L28_Act,0.00037152000004425645
npu,decode,SwiGLU,L29_Act,0.00037152000004425645
npu,decode,SwiGLU,L2_Act,0.000371520000037151
npu,decode,SwiGLU,L30_Act,0.00037152000004425645
npu,decode,SwiGLU,L31_Act,0.00037152000004425645
npu,decode,SwiGLU,L3_Act,0.000371520000037151
npu,decode,SwiGLU,L4_Act,0.00037152000004425645
npu,decode,SwiGLU,L5_Act,0.00037152000004425645
npu,decode,SwiGLU,L6_Act,0.00037152000004425645
npu,decode,SwiGLU,L7_Act,0.00037152000004425645
npu,decode,SwiGLU,L8_Act,0.00037152000004425645
npu,decode,SwiGLU,L9_Act,0.00037152000004425645
npu,decode,V,L0_V,0.0068926668280153
npu,decode,V,L10_V,0.004395202501512801
npu,decode,V,L11_V,0.004395202501512801
npu,decode,V,L12_V,0.004395202501512801
npu,decode,V,L13_V,0.004395202501512801
npu,decode,V,L14_V,0.004395202501512801
npu,decode,V,L15_V,0.004395202501512801
npu,decode,V,L16_V,0.004395202501512801
npu,decode,V,L17_V,0.004395202501512801
npu,decode,V,L18_V,0.004395202501512801
npu,decode,V,L19_V,0.004395202501512801
npu,decode,V,L1_V,0.004395202501512801
npu,decode,V,L20_V,0.004395202501512801
npu,decode,V,L21_V,0.004395202501512801
npu,decode,V,L22_V,0.004395202501512801
npu,decode,V,L23_V,0.004395202501512801
npu,decode,V,L24_V,0.004395202501512801
npu,decode,V,L25_V,0.004395202501512801
npu,decode,V,L26_V,0.004395202501512801
npu,decode,V,L27_V,0.004395202501512801
npu,decode,V,L28_V,0.004395202501512801
npu,decode,V,L29_V,0.004395202501512801
npu,decode,V,L2_V,0.004395202501512801
npu,decode,V,L30_V,0.004395202501512801
npu,decode,V,L31_V,0.004395202501512801
npu,decode,V,L3_V,0.004395202501512801
npu,decode,V,L4_V,0.004395202501512801
npu,decode,V,L5_V,0.004395202501512801
npu,decode,V,L6_V,0.004395202501512801
npu,decode,V,L7_V,0.004395202501512801
npu,decode,V,L8_V,0.004395202501512801
npu,decode,V,L9_V,0.004395202501512801
npu,prefill,Add,L0_Add1,0.01572864
npu,prefill,Add,L0_Add2,0.01572864
npu,prefill,Add,L10_Add1,0.0157286399999989
