instr,addr,pipe,call_count,cycles,running_time(us),detail
ST_XD_XN_IMM,0x10d11820,SCALAR,1,37,0.000000,"dtype:B64,XD:X2=0x107a18,XN:X30=0x1080b0,IMM:0xda8,"
STI_XN_IMM,0x10d1120c,SCALAR,1,37,0.000000,"dtype:B64,XN:X30=0x1080b0,IMM:0xd88,#POST:0,#IMM_TYPE:ONE,"
STI_XN_XM,0x10d11524,SCALAR,1,37,0.000000,"dtype:B8,XN:X9=0x107a58,XM:X11=0,#POST:0,#IMM_TYPE:ONE,"
ST_XD_XN_IMM,0x10d1159c,SCALAR,1,37,0.000000,"dtype:B8,XD:X12=0x1,XN:X30=0x1080b0,IMM:0xe06,"
ST_XD_XN_IMM,0x10d11634,SCALAR,1,37,0.000000,"dtype:B64,XD:X0=0x107a08,XN:X30=0x1080b0,IMM:0xd90,"
ST_XD_XN_IMM,0x10d11514,SCALAR,1,37,0.000000,"dtype:B8,XD:X12=0,XN:X30=0x1080b0,IMM:0xe07,"
ST_XD_XN_IMM,0x10d1145c,SCALAR,1,37,0.000000,"dtype:B8,XD:X3=0x1,XN:X30=0x1080b0,IMM:0xd8e,"
STI_XN_IMM,0x10d1170c,SCALAR,1,37,0.000000,"dtype:B8,XN:X0=0x107a08,IMM:0x2,#POST:0,#IMM_TYPE:ALL_ONE,"
ST_XD_XN_IMM,0x10d1129c,SCALAR,1,37,0.000000,"dtype:B32,XD:X9=0x200,XN:X10=0x107a2c,IMM:0,"
ST_XD_XN_IMM,0x10d1136c,SCALAR,1,37,0.000000,"dtype:B64,XD:X3=0x107a58,XN:X30=0x1080b0,IMM:0xe10,"
ST_XD_XN_IMM,0x10d116d0,SCALAR,1,37,0.000000,"dtype:B8,XD:X2=0,XN:X30=0x1080b0,IMM:0xd89,"
ST_XD_XN_IMM,0x10d113d4,SCALAR,1,37,0.000000,"dtype:B32,XD:X5=0x4000,XN:X30=0x1080b0,IMM:0x950,"
ST_XD_XN_IMM,0x10d113d8,SCALAR,1,37,0.000000,"dtype:B8,XD:X2=0x7,XN:X30=0x1080b0,IMM:0xd84,"
ST_XD_XN_IMM,0x10d116b4,SCALAR,1,37,0.000000,"dtype:B64,XD:X0=0x7,XN:X2=0x107928,IMM:0,"
ST_XD_XN_IMM,0x10d1169c,SCALAR,1,37,0.000000,"dtype:B64,XD:X7=0x107a58,XN:X30=0x1080b0,IMM:0xe08,"
STI_XN_XM,0x10d11404,SCALAR,1,37,0.000000,"dtype:B8,XN:X1=0x107a08,XM:X2=0,#POST:0,#IMM_TYPE:ONE,"
ST_XD_XN_IMM,0x10d11268,SCALAR,1,37,0.000000,"dtype:B32,XD:X8=0x200,XN:X30=0x1080b0,IMM:0x944,"
ST_XD_XN_IMM,0x10d1173c,SCALAR,1,37,0.000000,"dtype:B8,XD:X6=0,XN:X30=0x1080b0,IMM:0xda7,"
ST_XD_XN_IMM,0x10d11484,SCALAR,1,37,0.000000,"dtype:B8,XD:X8=0,XN:X30=0x1080b0,IMM:0xdbf,"
STI_XN_XM,0x10d11494,SCALAR,1,37,0.000000,"dtype:B8,XN:X3=0x107a28,XM:X4=0,#POST:0,#IMM_TYPE:ONE,"
STI_XN_IMM,0x10d112a4,SCALAR,1,37,0.000000,"dtype:B32,XN:X8=0x107a28,IMM:0xc,#POST:0,#IMM_TYPE:ALL_ONE,"
ST_XD_XN_IMM,0x10d11340,SCALAR,1,37,0.000000,"dtype:B32,XD:X6=0x4000,XN:X30=0x1080b0,IMM:0x94c,"
ST_XD_XN_IMM,0x10d11298,SCALAR,1,37,0.000000,"dtype:B32,XD:X5=0xffff0100,XN:X8=0x107a28,IMM:0,"
ST_XD_XN_IMM,0x10d11654,SCALAR,1,37,0.000000,"dtype:B64,XD:X0=0x1,XN:X10=0x107928,IMM:0,"
ST_XD_XN_IMM,0x10d11640,SCALAR,1,37,0.000000,"dtype:B8,XD:X6=0x1,XN:X30=0x1080b0,IMM:0xd89,"
ST_XD_XN_IMM,0x10d118b4,SCALAR,1,37,0.000000,"dtype:B64,XD:X4=0x4,XN:X1=0x107928,IMM:0,"
STI_XN_IMM,0x10d118b8,SCALAR,1,37,0.000000,"dtype:B8,XN:X0=0x107a28,IMM:0x2,#POST:0,#IMM_TYPE:ALL_ONE,"
