Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
Llama2-13B,20,20,1,32,32,2176,0.117953,0.0056851889910016,0.0117052499999999,0.1353434389910016,0.077148,5.640885559640068,3545.5425905283137,144.32799377920034,611.8029799123393,1.0
Llama2-13B,20,20,1,32,32,2304,0.119073,0.0056851889910016,0.01225525,0.1370134389910016,0.077148,5.707685559640068,3504.047269426177,144.79607322638063,608.0138789917972,1.0
Llama2-13B,20,20,1,32,32,2432,0.1201555,0.0056851889910016,0.0128052499999999,0.1386459389910016,0.077148,5.772985559640067,3464.41192228566,144.8174796011107,602.6252631011924,1.0
Llama2-13B,20,20,1,32,32,2560,0.1212705,0.0056851889910016,0.01335525,0.1403109389910017,0.077148,5.839585559640068,3424.9005851080865,145.7317905605902,600.8542496344544,1.0
Llama2-13B,20,20,1,32,32,2688,0.124693,0.0056851889910016,0.01390525,0.1442834389910016,0.077148,5.998485559640068,3334.1749015063187,148.01171464123854,593.5045056307831,1.0
Llama2-13B,20,20,1,32,32,2816,0.125813,0.0056851889910016,0.01445525,0.1459534389910017,0.077148,6.065285559640068,3297.453978603253,148.47979408841877,590.0812876587423,1.0
Llama2-13B,20,20,1,32,32,2944,0.1268955,0.0056851889910016,0.01500525,0.1475859389910016,0.077148,6.130585559640068,3262.3311110226505,148.50120046314885,585.1318622927873,1.0
Llama2-13B,20,20,1,32,32,3072,0.1280105,0.0056851889910016,0.01555525,0.1492509389910016,0.077148,6.197185559640068,3227.2714456466265,149.41551142262833,583.6064675266027,1.0
Llama2-13B,20,20,1,32,32,3200,0.132791,0.0056851889910016,0.01610525,0.1545814389910016,0.077148,6.410405559640068,3119.9274077010136,152.9259987010104,575.8146211001136,1.0
Llama2-13B,20,20,1,32,32,3328,0.133911,0.0056851889910016,0.01665525,0.1562514389910017,0.077148,6.477205559640068,3087.751317423278,153.3940781481907,572.746369410245,1.0
Llama2-13B,20,20,1,32,32,3456,0.1349935,0.0056851889910016,0.01720525,0.1578839389910016,0.077148,6.542505559640067,3056.9328245401275,153.41548452292074,568.2328575928497,1.0
Llama2-13B,20,20,1,32,32,3584,0.1361085,0.0056851889910016,0.01775525,0.1595489389910016,0.077148,6.609105559640067,3026.1280924508646,154.32979548240027,566.9366552507751,1.0
Llama2-13B,20,20,1,32,32,3712,0.139531,0.0056851889910016,0.01830525,0.1635214389910016,0.077148,6.768005559640067,2955.080314837039,156.6097195630485,561.2004485134074,1.0
Llama2-13B,20,20,1,32,32,3840,0.140651,0.0056851889910016,0.01885525,0.1651914389910017,0.077148,6.834805559640068,2926.19882533326,157.07779901022883,558.3955997832534,1.0
Llama2-13B,20,20,1,32,32,3968,0.1417335,0.0056851889910016,0.01940525,0.1668239389910017,0.077148,6.900105559640068,2898.506381841971,157.09920538495896,554.20632872595,1.0
Llama2-13B,20,20,1,32,32,4096,0.1428485,0.0056851889910016,0.01995525,0.1684889389910016,0.077148,6.966705559640068,2870.7973702613745,158.0135163444384,553.0807685920341,1.0
Llama2-13B,20,40,1,32,16,128,0.1663145,0.0006398072596958,0.0058105,0.1727648072596958,0.1499815,7.210573790387835,5547.408730956004,121.8983464357655,732.9387782530417,1.0
Llama2-13B,20,40,1,32,16,256,0.168486,0.0006398072596958,0.0069105,0.1760363072596958,0.1499815,7.3414337903878355,5448.526969264796,122.2919867891854,725.8287738398764,1.0
Llama2-13B,20,40,1,32,16,384,0.1728785,0.0006398072596958,0.0080105,0.1815288072596958,0.1499815,7.561133790387835,5290.211905898344,123.59107995357846,714.9013900142496,1.0
Llama2-13B,20,40,1,32,16,512,0.17505,0.0006398072596958,0.0091105,0.1848003072596958,0.1499815,7.691993790387835,5200.212206357382,123.98472030699844,708.2817498257548,1.0
Llama2-13B,20,40,1,32,16,640,0.1794425,0.0006398072596958,0.0102105,0.1902928072596958,0.1499815,7.911693790387836,5055.807398486181,125.28381347139144,698.1836157621044,1.0
Llama2-13B,20,40,1,32,16,768,0.181614,0.0006398072596958,0.0113105,0.1935643072596958,0.1499815,8.042553790387835,4973.544603183945,125.6774538248114,692.0031155352084,1.0
Llama2-13B,20,40,1,32,16,896,0.1860065,0.0006398072596958,0.0124105,0.1990568072596958,0.1499815,8.262253790387835,4841.294036081937,126.9765469892045,682.6457515689206,1.0
Llama2-13B,20,40,1,32,16,1024,0.188178,0.0006398072596958,0.0135105,0.2023283072596959,0.1499815,8.393113790387835,4765.811711716547,127.3701873426244,676.8601395626712,1.0
Llama2-13B,20,40,1,32,16,1152,0.194589,0.0006398072596958,0.0146105,0.2098393072596958,0.1499815,8.693553790387837,4601.110312818979,129.6197351734788,666.120567830035,1.0
Llama2-13B,20,40,1,32,16,1280,0.1967605,0.0006398072596958,0.0157105,0.2131108072596959,0.1499815,8.824413790387835,4532.879004786786,130.01337552689864,660.7696947654563,1.0
Llama2-13B,20,40,1,32,16,1408,0.201153,0.0006398072596958,0.0168105,0.2186033072596958,0.1499815,9.044113790387836,4422.766113636513,131.3124686912917,652.7989574666633,1.0
Llama2-13B,20,40,1,32,16,1536,0.2033245,0.0006398072596958,0.0179105,0.2218748072596958,0.1499815,9.174973790387831,4359.685478546655,131.70610904471167,647.7631030432223,1.0
Llama2-13B,20,40,1,32,16,1664,0.207717,0.0006398072596958,0.0190105,0.2273673072596959,0.1499815,9.394673790387836,4257.731656518613,133.00520220910474,640.3192911947731,1.0
Llama2-13B,20,40,1,32,16,1792,0.2098885,0.0006398072596958,0.0201105,0.2306388072596958,0.1499815,9.525533790387836,4199.239736083219,133.3988425625246,635.570041057631,1.0
Llama2-13B,20,40,1,32,16,1920,0.214281,0.0006398072596958,0.0212104999999999,0.2361313072596958,0.1499815,9.745233790387834,4104.570589107242,134.69793572691768,628.6041960179281,1.0
