phase,node_id,op,device,device_type,mode,start,end,duration
decode,L1_V_write_s0,V_write,PIM0,pim,COMMAWARE,0.421298559,0.421298589,3.00E-08
decode,L1_K_write_s1,K_write,PIM1,pim,COMMAWARE,0.421298529,0.421298559,3.00E-08
decode,L1_V_write_s1,V_write,PIM1,pim,COMMAWARE,0.421298559,0.421298589,3.00E-08
decode,L2_K_write_s0,K_write,PIM0,pim,COMMAWARE,0.421298589,0.421298619,3.00E-08
decode,L2_V_write_s0,V_write,PIM0,pim,COMMAWARE,0.421298619,0.421298649,3.00E-08
decode,L2_K_write_s1,K_write,PIM1,pim,COMMAWARE,0.421298589,0.421298619,3.00E-08
decode,L2_V_write_s1,V_write,PIM1,pim,COMMAWARE,0.421298619,0.421298649,3.00E-08
decode,L3_K_write_s0,K_write,PIM0,pim,COMMAWARE,0.421298649,0.421298679,3.00E-08
decode,L3_V_write_s0,V_write,PIM0,pim,COMMAWARE,0.421298679,0.421298709,3.00E-08
decode,L3_K_write_s1,K_write,PIM1,pim,COMMAWARE,0.421298649,0.421298679,3.00E-08
decode,L3_V_write_s1,V_write,PIM1,pim,COMMAWARE,0.421298679,0.421298709,3.00E-08
decode,L4_K_write_s0,K_write,PIM0,pim,COMMAWARE,0.421298709,0.421298739,3.00E-08
decode,L4_V_write_s0,V_write,PIM0,pim,COMMAWARE,0.421298739,0.421298769,3.00E-08
decode,L4_K_write_s1,K_write,PIM1,pim,COMMAWARE,0.421298709,0.421298739,3.00E-08
decode,L4_V_write_s1,V_write,PIM1,pim,COMMAWARE,0.421298739,0.421298769,3.00E-08
decode,L5_K_write_s0,K_write,PIM0,pim,COMMAWARE,0.421298769,0.421298799,3.00E-08
decode,L5_V_write_s0,V_write,PIM0,pim,COMMAWARE,0.421298799,0.421298829,3.00E-08
decode,L5_K_write_s1,K_write,PIM1,pim,COMMAWARE,0.421298769,0.421298799,3.00E-08
decode,L5_V_write_s1,V_write,PIM1,pim,COMMAWARE,0.421298799,0.421298829,3.00E-08
decode,L6_K_write_s0,K_write,PIM0,pim,COMMAWARE,0.421298829,0.421298859,3.00E-08
decode,L6_V_write_s0,V_write,PIM0,pim,COMMAWARE,0.421298859,0.421298889,3.00E-08
decode,L6_K_write_s1,K_write,PIM1,pim,COMMAWARE,0.421298829,0.421298859,3.00E-08
decode,L6_V_write_s1,V_write,PIM1,pim,COMMAWARE,0.421298859,0.421298889,3.00E-08
decode,L7_K_write_s0,K_write,PIM0,pim,COMMAWARE,0.421298889,0.421298919,3.00E-08
decode,L7_V_write_s0,V_write,PIM0,pim,COMMAWARE,0.421298919,0.421298949,3.00E-08
decode,L7_K_write_s1,K_write,PIM1,pim,COMMAWARE,0.421298889,0.421298919,3.00E-08
decode,L7_V_write_s1,V_write,PIM1,pim,COMMAWARE,0.421298919,0.421298949,3.00E-08
decode,L8_K_write_s0,K_write,PIM0,pim,COMMAWARE,0.421298949,0.421298979,3.00E-08
decode,L8_V_write_s0,V_write,PIM0,pim,COMMAWARE,0.421298979,0.421299009,3.00E-08
decode,L8_K_write_s1,K_write,PIM1,pim,COMMAWARE,0.421298949,0.421298979,3.00E-08
decode,L8_V_write_s1,V_write,PIM1,pim,COMMAWARE,0.421298979,0.421299009,3.00E-08
decode,L9_K_write_s0,K_write,PIM0,pim,COMMAWARE,0.421299009,0.421299039,3.00E-08
