phase,node_id,op,device,device_type,mode,start,end,duration
decode,L16_SV_s0,SV,PIM0,pim,FIXED_PLAN,0.891564373,0.892298053,0.00073368
decode,L16_SV_s1,SV,PIM1,pim,FIXED_PLAN,0.891563578,0.892297258,0.00073368
decode,L16_O_s0,O,PIM1,pim,FIXED_PLAN,0.89229845,0.89231341,1.50E-05
decode,L16_O_s1,O,PIM0,pim,FIXED_PLAN,0.892298053,0.892313013,1.50E-05
decode,L16_AllReduce_O,ALLREDUCE,COMM,comm,FIXED_COMM,0.89231341,0.892314194,7.84E-07
decode,L16_Add1,Add,PIM0,pim,FIXED_PLAN,0.892314194,0.892314254,6.00E-08
decode,L16_LN2,LN,PIM1,pim,FIXED_PLAN,0.892315049,0.892338129,2.31E-05
decode,L16_FFN_W1_s0,FFN_W1,PIM0,pim,FIXED_PLAN,0.892338923,0.892430123,9.12E-05
decode,L16_FFN_W3_s0,FFN_W3,PIM1,pim,FIXED_PLAN,0.892338129,0.892415809,7.77E-05
decode,L16_FFN_W1_s1,FFN_W1,PIM1,pim,FIXED_PLAN,0.892415809,0.892507009,9.12E-05
decode,L16_FFN_W3_s1,FFN_W3,PIM0,pim,FIXED_PLAN,0.892430123,0.892507803,7.77E-05
decode,L16_SwiGLU_s0,SwiGLU,PIM1,pim,FIXED_PLAN,0.892507009,0.892517069,1.01E-05
decode,L16_SwiGLU_s1,SwiGLU,PIM0,pim,FIXED_PLAN,0.892509322,0.892519382,1.01E-05
decode,L16_FFN_W2_s0,FFN_W2,PIM1,pim,FIXED_PLAN,0.892517069,0.892598269,8.12E-05
decode,L16_FFN_W2_s1,FFN_W2,PIM0,pim,FIXED_PLAN,0.892519382,0.892600582,8.12E-05
decode,L16_AllReduce_FFN,ALLREDUCE,COMM,comm,FIXED_COMM,0.892600582,0.892601366,7.84E-07
decode,L16_Add2,Add,PIM0,pim,FIXED_PLAN,0.892601366,0.892601426,6.00E-08
decode,L17_LN,LN,PIM1,pim,FIXED_PLAN,0.892602221,0.892625301,2.31E-05
